LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallCond,Exterior1st,ExterQual,Foundation,BsmtExposure,BsmtFinType1,BsmtUnfSF,HeatingQC,1stFlrSF,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Fireplaces,GarageType,GarageFinish,GarageArea,MoSold,YrSold,SalePrice
8450,Reg,Inside,CollgCr,2Story,5,VinylSd,Gd,PConc,No,GLQ,150,Ex,856,1,2,1,3,Gd,0,Attchd,RFn,548,2,2008,208500
11250,IR1,Inside,CollgCr,2Story,5,VinylSd,Gd,PConc,Mn,GLQ,434,Ex,920,1,2,1,3,Gd,1,Attchd,RFn,608,9,2008,223500
9550,IR1,Corner,Crawfor,2Story,5,Wd Sdng,TA,BrkTil,No,ALQ,540,Gd,961,1,1,0,3,Gd,1,Detchd,Unf,642,2,2006,140000
14260,IR1,FR2,NoRidge,2Story,5,VinylSd,Gd,PConc,Av,GLQ,490,Ex,1145,1,2,1,4,Gd,1,Attchd,RFn,836,12,2008,250000
14115,IR1,Inside,Mitchel,1.5Fin,5,VinylSd,TA,Wood,No,GLQ,64,Ex,796,1,1,1,1,TA,0,Attchd,Unf,480,10,2009,143000
10084,Reg,Inside,Somerst,1Story,5,VinylSd,Gd,PConc,Av,GLQ,317,Ex,1694,1,2,0,3,Gd,1,Attchd,RFn,636,8,2007,307000
10382,IR1,Corner,NWAmes,2Story,6,HdBoard,TA,CBlock,Mn,ALQ,216,Ex,1107,1,2,1,3,TA,2,Attchd,RFn,484,11,2009,200000
6120,Reg,Inside,OldTown,1.5Fin,5,BrkFace,TA,BrkTil,No,Unf,952,Gd,1022,0,2,0,2,TA,2,Detchd,Unf,468,4,2008,129900
7420,Reg,Corner,BrkSide,1.5Unf,6,MetalSd,TA,BrkTil,No,GLQ,140,Ex,1077,1,1,0,2,TA,2,Attchd,RFn,205,1,2008,118000
11200,Reg,Inside,Sawyer,1Story,5,HdBoard,TA,CBlock,No,Rec,134,Ex,1040,1,1,0,3,TA,0,Detchd,Unf,384,2,2008,129500
12968,IR2,Inside,Sawyer,1Story,6,HdBoard,TA,CBlock,No,ALQ,175,TA,912,1,1,0,2,TA,0,Detchd,Unf,352,9,2008,144000
10652,IR1,Inside,CollgCr,1Story,5,VinylSd,Gd,PConc,Av,Unf,1494,Ex,1494,0,2,0,3,Gd,1,Attchd,RFn,840,8,2007,279500
10920,IR1,Corner,NAmes,1Story,5,MetalSd,TA,CBlock,No,BLQ,520,TA,1253,1,1,1,2,TA,1,Attchd,RFn,352,5,2008,157000
11241,IR1,CulDSac,NAmes,1Story,7,Wd Sdng,TA,CBlock,No,ALQ,426,Ex,1004,1,1,0,2,TA,1,Attchd,Fin,480,3,2010,149000
10791,Reg,Inside,Sawyer,1Story,5,MetalSd,TA,Slab,No,Unf,0,TA,1296,0,2,0,2,TA,0,CarPort,Unf,516,10,2006,90000
13695,Reg,Inside,SawyerW,1Story,5,VinylSd,TA,PConc,No,GLQ,468,Ex,1114,1,1,1,3,Gd,0,Detchd,Unf,576,6,2008,159000
7560,Reg,Inside,NAmes,1Story,6,BrkFace,TA,CBlock,No,LwQ,525,TA,1339,0,1,0,3,TA,0,Attchd,Unf,294,5,2009,139000
7449,Reg,Inside,IDOTRR,1.5Unf,7,Wd Sdng,TA,PConc,No,Unf,637,Ex,1108,0,1,0,3,Gd,1,Attchd,Unf,280,6,2007,139400
